Member_number,without pattern
1026,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'root vegetables']"
1027,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1028,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'root vegetables']"
1029,"['canned beer', 'frankfurter', 'beef', 'fruit/vegetable juice', 'dessert']"
1031,"['other vegetables', 'bottled water', 'canned beer', 'cream cheese ', 'UHT-milk']"
1032,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1033,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1034,"['other vegetables', 'soda', 'tropical fruit', 'bottled water', 'bottled beer']"
1035,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1036,"['whole milk', 'root vegetables', 'pastry', 'shopping bags', 'frankfurter']"
1037,"['whole milk', 'rolls/buns', 'soda', 'tropical fruit', 'bottled water']"
1038,"['whole milk', 'other vegetables', 'root vegetables', 'sausage', 'pip fruit']"
1039,"['rolls/buns', 'soda', 'salty snack', 'potato products']"
1040,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1041,"['yogurt', 'sausage', 'citrus fruit', 'pip fruit', 'shopping bags']"
1042,"['bottled water', 'citrus fruit', 'whipped/sour cream', 'beef', 'frozen vegetables']"
1043,"['whole milk', 'rolls/buns', 'yogurt', 'tropical fruit', 'bottled water']"
1044,"['other vegetables', 'root vegetables', 'sausage', 'bottled beer', 'canned beer']"
1045,"['rolls/buns', 'soda', 'yogurt', 'root vegetables', 'canned beer']"
1046,"['whole milk', 'other vegetables', 'bottled water', 'pastry', 'whipped/sour cream']"
1047,"['soda', 'bottled water', 'pip fruit', 'bottled beer', 'curd']"
1048,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'sausage']"
1049,"['whole milk', 'soda', 'yogurt', 'tropical fruit', 'sausage']"
1050,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1051,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'root vegetables']"
1052,"['whole milk', 'other vegetables', 'soda', 'yogurt', 'root vegetables']"
1053,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1054,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'bottled water']"
1055,"['whole milk', 'soda', 'yogurt', 'bottled water', 'pork']"
1056,"['whole milk', 'other vegetables', 'soda', 'root vegetables', 'bottled water']"
1057,"['whole milk', 'other vegetables', 'rolls/buns', 'tropical fruit', 'bottled water']"
1058,"['other vegetables', 'root vegetables', 'tropical fruit', 'sausage', 'dessert']"
1059,"['whole milk', 'root vegetables', 'tropical fruit', 'sausage', 'pip fruit']"
1061,"['whole milk', 'other vegetables', 'soda', 'yogurt', 'root vegetables']"
1062,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1063,"['whole milk', 'rolls/buns', 'citrus fruit', 'coffee', 'salt']"
1064,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1065,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1066,"['whole milk', 'other vegetables', 'root vegetables', 'bottled beer', 'canned beer']"
1067,"['other vegetables', 'rolls/buns', 'soda', 'tropical fruit', 'bottled water']"
1068,"['whole milk', 'soda', 'yogurt', 'shopping bags', 'spread cheese']"
1069,"['whole milk', 'rolls/buns', 'soda', 'tropical fruit', 'bottled water']"
1070,"['newspapers', 'butter', 'beef', 'coffee', 'cream cheese ']"
1071,['yogurt']
1072,"['whole milk', 'other vegetables', 'citrus fruit', 'canned beer', 'whipped/sour cream']"
1073,"['yogurt', 'sausage', 'pip fruit', 'brown bread', 'domestic eggs']"
1074,"['whole milk', 'rolls/buns', 'root vegetables', 'sausage', 'shopping bags']"
1075,"['whole milk', 'other vegetables', 'rolls/buns', 'root vegetables', 'bottled water']"
1076,"['whole milk', 'rolls/buns', 'root vegetables', 'bottled water', 'pastry']"
1077,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'root vegetables']"
1078,"['rolls/buns', 'soda', 'yogurt', 'tropical fruit', 'sausage']"
1079,"['whole milk', 'other vegetables', 'bottled water', 'citrus fruit', 'shopping bags']"
1080,"['whole milk', 'soda', 'root vegetables', 'tropical fruit', 'canned beer']"
1081,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'sausage']"
1082,"['whole milk', 'other vegetables', 'yogurt', 'newspapers', 'beef']"
1083,"['whole milk', 'soda', 'newspapers', 'curd', 'hamburger meat']"
1084,['other vegetables']
1085,"['whole milk', 'soda', 'yogurt', 'citrus fruit', 'pastry']"
1086,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'root vegetables']"
1087,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1088,"['whole milk', 'yogurt', 'bottled water', 'pastry', 'bottled beer']"
1089,['yogurt']
1090,"['whole milk', 'soda', 'yogurt', 'root vegetables', 'pastry']"
1092,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1093,"['canned beer', 'frankfurter', 'beef', 'fruit/vegetable juice', 'frozen vegetables']"
1094,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'root vegetables']"
1095,"['other vegetables', 'soda', 'yogurt', 'root vegetables', 'shopping bags']"
1097,"['whole milk', 'rolls/buns', 'soda', 'bottled water', 'sausage']"
1098,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1099,"['other vegetables', 'rolls/buns', 'yogurt', 'root vegetables', 'sausage']"
1100,"['whole milk', 'other vegetables', 'soda', 'yogurt', 'tropical fruit']"
1101,"['whole milk', 'other vegetables', 'rolls/buns', 'bottled water', 'shopping bags']"
1102,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'root vegetables']"
1103,"['yogurt', 'pastry', 'pip fruit', 'frankfurter', 'beef']"
1104,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1105,"['whole milk', 'other vegetables', 'tropical fruit', 'bottled water', 'waffles']"
1107,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'citrus fruit']"
1108,"['other vegetables', 'root vegetables', 'bottled water', 'sausage', 'citrus fruit']"
1109,"['whole milk', 'soda', 'bottled water', 'citrus fruit', 'pastry']"
1110,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1111,"['whole milk', 'other vegetables', 'soda', 'yogurt', 'root vegetables']"
1112,"['canned beer', 'newspapers', 'ice cream']"
1113,"['whole milk', 'yogurt', 'tropical fruit', 'pip fruit', 'bottled beer']"
1114,"['whole milk', 'yogurt', 'tropical fruit', 'bottled water', 'sausage']"
1115,"['other vegetables', 'yogurt', 'root vegetables', 'bottled water', 'shopping bags']"
1116,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1117,"['citrus fruit', 'curd', 'meat']"
1118,"['whole milk', 'rolls/buns', 'yogurt', 'root vegetables', 'tropical fruit']"
1119,"['whole milk', 'grapes']"
1120,"['whole milk', 'other vegetables', 'rolls/buns', 'tropical fruit', 'bottled water']"
1121,"['shopping bags', 'fruit/vegetable juice', 'coffee', 'cocoa drinks']"
1122,"['soda', 'bottled water', 'citrus fruit', 'beef', 'margarine']"
1123,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'sausage']"
1124,"['soda', 'yogurt', 'sausage', 'bottled beer', 'newspapers']"
1125,"['other vegetables', 'rolls/buns', 'soda', 'root vegetables', 'bottled water']"
1126,"['root vegetables', 'sausage', 'whipped/sour cream', 'newspapers', 'pork']"
1127,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1128,"['other vegetables', 'rolls/buns', 'soda', 'root vegetables', 'sausage']"
1129,"['whole milk', 'yogurt', 'beef', 'cream cheese ', 'frozen meals']"
1130,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1132,"['whole milk', 'other vegetables', 'rolls/buns', 'shopping bags', 'bottled beer']"
1133,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'tropical fruit']"
1134,"['other vegetables', 'soda', 'yogurt', 'root vegetables', 'tropical fruit']"
1135,"['other vegetables', 'soda', 'yogurt', 'root vegetables', 'sausage']"
1136,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'root vegetables']"
1137,"['whole milk', 'other vegetables', 'tropical fruit', 'canned beer', 'frankfurter']"
1138,"['whole milk', 'rolls/buns', 'yogurt', 'root vegetables', 'tropical fruit']"
1139,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'tropical fruit']"
1140,"['whole milk', 'other vegetables', 'rolls/buns', 'pip fruit', 'whipped/sour cream']"
1141,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'tropical fruit']"
1142,"['other vegetables', 'rolls/buns', 'soda', 'yogurt', 'root vegetables']"
1143,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'shopping bags']"
1144,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1145,"['other vegetables', 'soda', 'root vegetables', 'sausage', 'citrus fruit']"
1146,"['whole milk', 'soda', 'yogurt', 'root vegetables', 'tropical fruit']"
1147,"['rolls/buns', 'soda', 'citrus fruit', 'frankfurter', 'domestic eggs']"
1148,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1149,"['whole milk', 'soda', 'yogurt', 'pastry', 'bottled beer']"
1150,"['whole milk', 'other vegetables', 'rolls/buns', 'tropical fruit', 'bottled water']"
1151,"['soda', 'tropical fruit', 'sausage', 'pip fruit', 'shopping bags']"
1152,"['whole milk', 'soda', 'tropical fruit', 'pip fruit', 'frankfurter']"
1153,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'root vegetables']"
1154,"['whole milk', 'other vegetables', 'rolls/buns', 'root vegetables', 'citrus fruit']"
1155,"['whole milk', 'yogurt', 'sausage', 'citrus fruit', 'bottled beer']"
1156,"['whole milk', 'other vegetables', 'white bread', 'berries']"
1157,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'root vegetables']"
1158,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1159,"['bottled water', 'citrus fruit', 'domestic eggs', 'frozen vegetables', 'white bread']"
1160,"['whole milk', 'rolls/buns', 'yogurt', 'root vegetables', 'tropical fruit']"
1161,"['whole milk', 'other vegetables', 'soda', 'yogurt', 'tropical fruit']"
1162,"['other vegetables', 'rolls/buns', 'yogurt', 'sausage', 'shopping bags']"
1163,"['bottled water', 'citrus fruit', 'whipped/sour cream', 'beef', 'frozen vegetables']"
1164,"['other vegetables', 'rolls/buns', 'soda', 'root vegetables', 'pastry']"
1165,"['whole milk', 'other vegetables', 'soda', 'root vegetables', 'tropical fruit']"
1166,"['whole milk', 'root vegetables', 'tropical fruit', 'bottled water', 'pastry']"
1167,"['other vegetables', 'rolls/buns', 'domestic eggs', 'coffee', 'hamburger meat']"
1168,"['whole milk', 'soda', 'tropical fruit', 'sausage', 'pip fruit']"
1169,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'bottled water']"
1170,"['whole milk', 'rolls/buns', 'soda', 'tropical fruit', 'bottled water']"
1171,"['whole milk', 'other vegetables', 'soda', 'tropical fruit', 'bottled water']"
1173,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1174,"['rolls/buns', 'root vegetables', 'pastry', 'whipped/sour cream', 'beef']"
1175,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1176,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'tropical fruit']"
1177,"['rolls/buns', 'soda', 'canned beer', 'whipped/sour cream', 'brown bread']"
1178,"['whole milk', 'other vegetables', 'soda', 'tropical fruit', 'bottled water']"
1179,"['rolls/buns', 'soda', 'sausage', 'shopping bags', 'domestic eggs']"
1180,"['whole milk', 'rolls/buns', 'yogurt', 'citrus fruit', 'shopping bags']"
1181,"['whole milk', 'other vegetables', 'root vegetables', 'sausage', 'citrus fruit']"
1182,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'bottled water']"
1183,"['whole milk', 'other vegetables', 'root vegetables', 'tropical fruit', 'bottled water']"
1184,"['other vegetables', 'rolls/buns', 'root vegetables', 'pip fruit', 'bottled beer']"
1185,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1186,"['other vegetables', 'soda', 'yogurt', 'domestic eggs', 'butter']"
1187,"['soda', 'shopping bags', 'domestic eggs', 'onions', 'chewing gum']"
1188,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'bottled water']"
1189,"['yogurt', 'tropical fruit', 'bottled water', 'sausage', 'citrus fruit']"
1190,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'root vegetables']"
1191,"['whole milk', 'other vegetables', 'soda', 'yogurt', 'root vegetables']"
1192,"['yogurt', 'bottled water', 'pastry', 'brown bread', 'butter']"
1193,"['other vegetables', 'soda', 'root vegetables', 'citrus fruit', 'shopping bags']"
1194,"['whole milk', 'rolls/buns', 'soda', 'root vegetables', 'pastry']"
1195,"['whole milk', 'other vegetables', 'citrus fruit', 'shopping bags', 'butter']"
1196,"['other vegetables', 'rolls/buns', 'yogurt', 'root vegetables', 'tropical fruit']"
1197,"['whole milk', 'rolls/buns', 'root vegetables', 'bottled water', 'sausage']"
1198,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1199,"['other vegetables', 'rolls/buns', 'root vegetables', 'tropical fruit', 'bottled water']"
1200,"['whole milk', 'rolls/buns', 'soda', 'root vegetables', 'sausage']"
1201,"['whole milk', 'citrus fruit', 'domestic eggs', 'pork', 'misc. beverages']"
1202,"['rolls/buns', 'soda', 'yogurt', 'root vegetables', 'tropical fruit']"
1204,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1205,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1206,"['whole milk', 'other vegetables', 'soda', 'tropical fruit', 'sausage']"
1207,"['whole milk', 'other vegetables', 'soda', 'yogurt', 'root vegetables']"
1208,"['whole milk', 'soda', 'yogurt', 'tropical fruit', 'bottled water']"
1209,"['other vegetables', 'rolls/buns', 'soda', 'yogurt', 'sausage']"
1211,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1212,"['other vegetables', 'yogurt', 'root vegetables', 'tropical fruit', 'sausage']"
1213,"['whole milk', 'other vegetables', 'root vegetables', 'pastry', 'pip fruit']"
1214,"['whole milk', 'yogurt', 'tropical fruit', 'pip fruit', 'shopping bags']"
1215,"['other vegetables', 'rolls/buns', 'soda', 'yogurt', 'root vegetables']"
1216,"['whole milk', 'rolls/buns', 'yogurt', 'root vegetables', 'bottled water']"
1217,"['whole milk', 'rolls/buns', 'bottled water', 'citrus fruit', 'whipped/sour cream']"
1218,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1219,"['whole milk', 'rolls/buns', 'soda', 'canned beer', 'brown bread']"
1220,"['whole milk', 'rolls/buns', 'tropical fruit', 'bottled water', 'sausage']"
1221,"['bottled water', 'fruit/vegetable juice', 'sugar']"
1222,"['whole milk', 'rolls/buns', 'tropical fruit', 'bottled water', 'canned beer']"
1223,"['whole milk', 'soda', 'yogurt', 'tropical fruit', 'sausage']"
1224,"['sausage', 'pork', 'ham', 'specialty chocolate', 'cooking chocolate']"
1225,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1226,"['whole milk', 'other vegetables', 'soda', 'root vegetables', 'citrus fruit']"
1227,['yogurt']
1228,"['bottled beer', 'beverages']"
1229,"['whole milk', 'yogurt', 'citrus fruit', 'brown bread', 'newspapers']"
1230,"['whole milk', 'other vegetables', 'soda', 'yogurt', 'bottled water']"
1231,"['other vegetables', 'rolls/buns', 'soda', 'yogurt', 'root vegetables']"
1232,"['yogurt', 'bottled water', 'pip fruit', 'bottled beer', 'whipped/sour cream']"
1233,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1234,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'tropical fruit']"
1235,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1236,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'citrus fruit']"
1237,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1238,"['rolls/buns', 'pip fruit', 'frankfurter', 'butter', 'margarine']"
1239,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'root vegetables']"
1240,"['whole milk', 'other vegetables', 'soda', 'sausage', 'pastry']"
1241,"['other vegetables', 'soda', 'root vegetables', 'bottled water', 'citrus fruit']"
1242,"['whole milk', 'other vegetables', 'soda', 'yogurt', 'tropical fruit']"
1243,"['soda', 'pastry', 'cling film/bags']"
1244,"['whole milk', 'other vegetables', 'rolls/buns', 'root vegetables', 'bottled water']"
1245,"['whole milk', 'other vegetables', 'soda', 'tropical fruit', 'bottled water']"
1246,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'tropical fruit']"
1247,['other vegetables']
1248,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'root vegetables']"
1249,"['other vegetables', 'rolls/buns', 'soda', 'citrus fruit', 'bottled beer']"
1251,"['other vegetables', 'yogurt', 'tropical fruit', 'citrus fruit', 'canned beer']"
1252,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'pastry']"
1253,"['whole milk', 'rolls/buns', 'soda', 'sausage', 'pastry']"
1254,"['whole milk', 'other vegetables', 'tropical fruit', 'sausage', 'citrus fruit']"
1256,"['other vegetables', 'rolls/buns', 'yogurt', 'root vegetables', 'tropical fruit']"
1257,"['whole milk', 'rolls/buns', 'yogurt', 'root vegetables', 'citrus fruit']"
1258,"['whole milk', 'soda', 'yogurt', 'root vegetables', 'sausage']"
1259,"['whole milk', 'other vegetables', 'root vegetables', 'tropical fruit', 'bottled water']"
1260,"['yogurt', 'tropical fruit', 'bottled water', 'sausage', 'pip fruit']"
1261,"['whole milk', 'other vegetables', 'rolls/buns', 'shopping bags', 'bottled beer']"
1262,"['whole milk', 'other vegetables', 'yogurt', 'butter', 'frozen meals']"
1263,"['other vegetables', 'citrus fruit', 'bottled beer', 'coffee', 'dessert']"
1264,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1265,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1266,['other vegetables']
1267,"['whole milk', 'root vegetables', 'butter', 'beef']"
1268,"['whole milk', 'other vegetables', 'rolls/buns', 'citrus fruit', 'canned beer']"
1269,"['whole milk', 'other vegetables', 'soda', 'root vegetables', 'tropical fruit']"
1270,"['other vegetables', 'rolls/buns', 'soda', 'tropical fruit', 'sausage']"
1272,"['yogurt', 'root vegetables', 'shopping bags', 'canned beer', 'brown bread']"
1273,"['whole milk', 'bottled water', 'pastry', 'pork', 'candy']"
1274,"['rolls/buns', 'soda', 'yogurt', 'root vegetables', 'citrus fruit']"
1275,"['whole milk', 'other vegetables', 'rolls/buns', 'root vegetables', 'tropical fruit']"
1276,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'tropical fruit']"
1277,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'root vegetables']"
1278,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1279,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'root vegetables']"
1280,"['whole milk', 'other vegetables', 'rolls/buns', 'whipped/sour cream', 'coffee']"
1281,"['other vegetables', 'frankfurter', 'domestic eggs', 'margarine', 'hamburger meat']"
1282,"['other vegetables', 'yogurt', 'root vegetables', 'citrus fruit', 'shopping bags']"
1283,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'root vegetables']"
1284,"['other vegetables', 'soda', 'frankfurter', 'margarine', 'waffles']"
1285,"['rolls/buns', 'soda', 'yogurt', 'root vegetables', 'tropical fruit']"
1286,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1287,"['whole milk', 'other vegetables', 'sausage', 'pip fruit', 'whipped/sour cream']"
1288,"['whole milk', 'rolls/buns', 'butter', 'frozen vegetables', 'chicken']"
1289,"['other vegetables', 'rolls/buns', 'soda', 'yogurt', 'pastry']"
1290,"['other vegetables', 'soda', 'yogurt', 'shopping bags', 'butter']"
1291,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'tropical fruit']"
1292,"['whole milk', 'rolls/buns', 'whipped/sour cream', 'brown bread', 'pork']"
1293,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'tropical fruit']"
1294,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1295,"['whole milk', 'other vegetables', 'soda', 'root vegetables', 'bottled water']"
1296,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1297,"['whole milk', 'yogurt', 'tropical fruit', 'sausage', 'citrus fruit']"
1298,"['rolls/buns', 'soda', 'yogurt', 'bottled water', 'sausage']"
1299,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'bottled beer']"
1300,"['yogurt', 'sausage', 'margarine', 'chicken']"
1301,"['whole milk', 'other vegetables', 'soda', 'root vegetables', 'tropical fruit']"
1302,"['whole milk', 'soda', 'root vegetables', 'bottled water', 'sausage']"
1303,"['whole milk', 'other vegetables', 'soda', 'tropical fruit', 'pastry']"
1304,"['rolls/buns', 'soda', 'root vegetables', 'sausage', 'bottled beer']"
1305,"['whole milk', 'other vegetables', 'yogurt', 'root vegetables', 'sausage']"
1306,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1307,"['other vegetables', 'yogurt', 'root vegetables', 'sausage', 'pastry']"
1308,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1309,"['rolls/buns', 'tropical fruit', 'bottled water', 'sausage', 'pastry']"
1310,"['yogurt', 'newspapers', 'berries', 'chewing gum']"
1311,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'canned beer']"
1312,"['whole milk', 'rolls/buns', 'soda', 'yogurt', 'root vegetables']"
1313,['other vegetables']
1314,"['other vegetables', 'canned beer', 'cream cheese ', 'ice cream', 'sparkling wine']"
1315,"['rolls/buns', 'soda', 'yogurt', 'tropical fruit', 'citrus fruit']"
1316,"['citrus fruit', 'pip fruit', 'bottled beer', 'whipped/sour cream', 'curd']"
1317,"['whole milk', 'other vegetables', 'rolls/buns', 'bottled water', 'sausage']"
1318,"['yogurt', 'tropical fruit', 'pastry', 'brown bread', 'chocolate']"
1319,"['whole milk', 'soda', 'yogurt', 'root vegetables', 'pip fruit']"
1320,"['rolls/buns', 'yogurt', 'root vegetables', 'bottled water', 'bottled beer']"
1321,"['soda', 'yogurt', 'bottled beer', 'beef', 'chocolate']"
1322,"['rolls/buns', 'yogurt', 'root vegetables', 'pip fruit', 'bottled beer']"
1323,"['whole milk', 'soda', 'root vegetables', 'butter', 'beef']"
1324,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'root vegetables']"
1325,"['soda', 'sausage', 'bottled beer', 'domestic eggs', 'butter']"
1326,"['whole milk', 'rolls/buns', 'yogurt', 'pip fruit', 'bottled beer']"
1327,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'bottled water']"
1328,"['whole milk', 'other vegetables', 'rolls/buns', 'tropical fruit', 'bottled water']"
1329,"['other vegetables', 'rolls/buns', 'root vegetables', 'tropical fruit', 'sausage']"
1330,"['whole milk', 'soda', 'newspapers', 'pork', 'butter']"
1331,"['whole milk', 'other vegetables', 'soda', 'root vegetables', 'tropical fruit']"
1332,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1333,"['whole milk', 'other vegetables', 'soda', 'bottled water', 'citrus fruit']"
1334,"['whole milk', 'rolls/buns', 'root vegetables', 'bottled beer', 'butter']"
1335,"['whole milk', 'other vegetables', 'yogurt', 'citrus fruit', 'canned beer']"
1336,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'bottled water']"
1337,"['whole milk', 'rolls/buns', 'tropical fruit', 'bottled water', 'citrus fruit']"
1338,"['whole milk', 'other vegetables', 'canned beer', 'curd', 'UHT-milk']"
1339,"['whole milk', 'other vegetables', 'rolls/buns', 'tropical fruit', 'bottled water']"
1340,"['whole milk', 'rolls/buns', 'soda', 'root vegetables', 'tropical fruit']"
1341,"['whole milk', 'other vegetables', 'yogurt', 'root vegetables', 'bottled water']"
1342,"['whole milk', 'rolls/buns', 'tropical fruit', 'bottled water', 'citrus fruit']"
1343,"['other vegetables', 'yogurt', 'pip fruit', 'shopping bags', 'frankfurter']"
1344,"['whole milk', 'rolls/buns', 'soda', 'root vegetables', 'newspapers']"
1345,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1346,"['other vegetables', 'tropical fruit', 'pip fruit', 'shopping bags', 'whipped/sour cream']"
1347,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'yogurt']"
1348,"['soda', 'yogurt', 'bottled beer', 'newspapers', 'beef']"
1349,"['other vegetables', 'root vegetables', 'pip fruit', 'frankfurter', 'domestic eggs']"
1350,"['whole milk', 'other vegetables', 'bottled water', 'frankfurter', 'herbs']"
1351,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'citrus fruit']"
1352,"['root vegetables', 'tropical fruit', 'bottled water', 'bottled beer', 'brown bread']"
1353,"['whole milk', 'other vegetables', 'rolls/buns', 'yogurt', 'tropical fruit']"
1354,"['whole milk', 'other vegetables', 'rolls/buns', 'soda', 'tropical fruit']"
